Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,15,Anis: Sparkling Summer,90.01%,25.74%,OK,
Shikikan,681,15,Anis: Sparkling Summer,78.81%,33.32%,OK,
E19,681,15,Anis: Sparkling Summer,101.23%,25.03%,OK,
QTB,681,15,Anis: Sparkling Summer,83.01%,10.40%,OK,
Zef,699,15,Anis: Sparkling Summer,94.22%,23.63%,OK,
Flame,690,15,Anis: Sparkling Summer,85.82%,23.47%,OK,
Rexv,689,15,Anis: Sparkling Summer,94.22%,26.29%,OK,
CCDC08,701,15,Anis: Sparkling Summer,78.81%,11.81%,OK,
DracusJ,698,15,Anis: Sparkling Summer,73.20%,25.03%,OK,
Kinjirou,701,15,Anis: Sparkling Summer,81.60%,45.84%,OK,
Killjoy,701,15,Anis: Sparkling Summer,58.06%,11.11%,OK,
Agumbi,701,15,Anis: Sparkling Summer,80.21%,42.33%,OK,
Vertigo,701,15,Anis: Sparkling Summer,90.01%,11.81%,OK,
Peach,722,15,Anis: Sparkling Summer,85.81%,26.28%,OK,
View,723,15,Anis: Sparkling Summer,80.20%,47.25%,OK,
Avalon,715,15,Anis: Sparkling Summer,95.62%,44.44%,OK,
Hiko,710,15,Anis: Sparkling Summer,94.21%,11.11%,OK,
GLordVJ,711,15,Anis: Sparkling Summer,80.21%,40.21%,OK,
Lone,721,15,Anis: Sparkling Summer,101.24%,37.39%,OK,
Hems,722,15,Anis: Sparkling Summer,85.81%,6.88%,OK,
Kenni,721,15,Anis: Sparkling Summer,77.40%,39.51%,OK,
Oniichan,723,15,Anis: Sparkling Summer,58.06%,26.44%,OK,
An,728,15,Anis: Sparkling Summer,95.62%,46.55%,OK,
Shika,765,15,Anis: Sparkling Summer,80.21%,43.72%,OK,
Nikke69,727,15,Anis: Sparkling Summer,94.22%,40.92%,OK,
Gohst,746,15,Anis: Sparkling Summer,42.90%,46.54%,OK,
Terra854,753,15,Anis: Sparkling Summer,41.50%,23.62%,OK,
Ethan,781,15,Anis: Sparkling Summer,91.41%,29.80%,OK,
Kamazune,764,15,Anis: Sparkling Summer,83.00%,9.00%,OK,
Xiel,761,15,Anis: Sparkling Summer,77.40%,32.62%,OK,
Eric,802,15,Anis: Sparkling Summer,42.90%,50.07%,OK,
Xrios,820,15,Anis: Sparkling Summer,90.02%,52.18%,OK,
