Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,75,Diesel: Winter Sweets,85.81%,27.69%,OK,
Shikikan,681,75,Diesel: Winter Sweets,85.82%,33.16%,OK,
E19,681,75,Diesel: Winter Sweets,91.41%,43.73%,OK,
QTB,681,75,Diesel: Winter Sweets,91.41%,30.51%,OK,
Zef,699,75,Diesel: Winter Sweets,88.61%,45.14%,OK,
Flame,690,75,Diesel: Winter Sweets,56.64%,9.00%,OK,
Rexv,689,75,Diesel: Winter Sweets,91.42%,43.73%,OK,
CCDC08,701,75,Diesel: Winter Sweets,67.87%,20.80%,OK,
DracusJ,698,75,Diesel: Winter Sweets,23.56%,40.37%,OK,
Kinjirou,701,75,Diesel: Winter Sweets,90.01%,43.73%,OK,
Killjoy,701,75,Diesel: Winter Sweets,62.25%,21.52%,OK,
Agumbi,701,75,Diesel: Winter Sweets,77.40%,20.11%,OK,
Vertigo,701,75,Diesel: Winter Sweets,94.22%,15.18%,OK,
Peach,722,75,Diesel: Winter Sweets,90.02%,19.40%,OK,
View,723,75,Diesel: Winter Sweets,91.42%,41.62%,OK,
Avalon,715,75,Diesel: Winter Sweets,94.22%,25.58%,OK,
Hiko,710,75,Diesel: Winter Sweets,72.07%,26.28%,OK,
GLordVJ,-,75,Diesel: Winter Sweets,-,-,NOT LOADED,
Lone,-,75,Diesel: Winter Sweets,-,-,NOT LOADED,
Hems,722,75,Diesel: Winter Sweets,87.22%,4.77%,OK,
Kenni,721,75,Diesel: Winter Sweets,76.00%,6.88%,OK,
Oniichan,723,75,Diesel: Winter Sweets,37.03%,22.06%,OK,
An,728,75,Diesel: Winter Sweets,77.40%,32.46%,OK,
Shika,-,75,Diesel: Winter Sweets,-,-,NOT LOADED,
Nikke69,727,75,Diesel: Winter Sweets,69.27%,36.84%,OK,
Gohst,746,75,Diesel: Winter Sweets,0%,0%,OK,
Terra854,753,75,Diesel: Winter Sweets,44.31%,29.80%,OK,
Ethan,781,75,Diesel: Winter Sweets,95.62%,42.32%,OK,
Kamazune,764,75,Diesel: Winter Sweets,83.02%,0%,OK,
Xiel,761,75,Diesel: Winter Sweets,87.21%,26.99%,OK,
Eric,802,75,Diesel: Winter Sweets,94.21%,43.03%,OK,
Xrios,818,75,Diesel: Winter Sweets,92.81%,40.20%,OK,
