Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,234,Dorothy: Serendipity,97.03%,33.33%,OK,
Shikikan,681,234,Dorothy: Serendipity,92.82%,41.62%,OK,
E19,681,234,Dorothy: Serendipity,85.80%,54.30%,OK,
QTB,681,234,Dorothy: Serendipity,85.81%,39.51%,OK,
Zef,699,234,Dorothy: Serendipity,85.80%,31.92%,OK,
Flame,690,234,Dorothy: Serendipity,44.31%,39.50%,OK,
Rexv,689,234,Dorothy: Serendipity,98.42%,33.32%,OK,
CCDC08,701,234,Dorothy: Serendipity,101.23%,42.32%,OK,
DracusJ,698,234,Dorothy: Serendipity,59.45%,37.39%,OK,
Kinjirou,701,234,Dorothy: Serendipity,95.62%,34.03%,OK,
Killjoy,701,234,Dorothy: Serendipity,92.82%,9.70%,OK,
Agumbi,701,234,Dorothy: Serendipity,80.21%,29.10%,OK,
Vertigo,701,234,Dorothy: Serendipity,88.61%,20.80%,OK,
Peach,722,234,Dorothy: Serendipity,88.62%,43.03%,OK,
View,723,234,Dorothy: Serendipity,90.01%,36.15%,OK,
Avalon,715,234,Dorothy: Serendipity,85.80%,30.51%,OK,
Hiko,710,234,Dorothy: Serendipity,95.62%,31.91%,OK,
GLordVJ,711,234,Dorothy: Serendipity,102.63%,45.14%,OK,
Lone,721,234,Dorothy: Serendipity,67.86%,19.23%,OK,
Hems,722,234,Dorothy: Serendipity,80.20%,15.17%,OK,
Kenni,721,234,Dorothy: Serendipity,63.66%,25.57%,OK,
Oniichan,723,234,Dorothy: Serendipity,64.79%,20.80%,OK,
An,728,234,Dorothy: Serendipity,84.40%,37.39%,OK,
Shika,765,234,Dorothy: Serendipity,91.41%,26.98%,OK,
Nikke69,727,234,Dorothy: Serendipity,60.85%,36.85%,OK,
Gohst,744,234,Dorothy: Serendipity,78.80%,26.44%,OK,
Terra854,753,234,Dorothy: Serendipity,73.47%,43.02%,OK,
Ethan,781,234,Dorothy: Serendipity,106.84%,5.47%,OK,
Kamazune,764,234,Dorothy: Serendipity,108.24%,22.76%,OK,
Xiel,761,234,Dorothy: Serendipity,78.81%,13.93%,OK,
Eric,802,234,Dorothy: Serendipity,97.04%,40.91%,OK,
Xrios,818,234,Dorothy: Serendipity,95.62%,45.84%,OK,
