Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,262,Liberalio,84.41%,45.14%,OK,
Shikikan,681,262,Liberalio,90.01%,38.80%,OK,
E19,681,262,Liberalio,92.81%,47.95%,OK,
QTB,681,262,Liberalio,106.84%,44.43%,OK,
Zef,699,262,Liberalio,90.01%,40.91%,OK,
Flame,690,262,Liberalio,111.04%,40.92%,OK,
Rexv,689,262,Liberalio,87.22%,22.93%,OK,
CCDC08,701,262,Liberalio,90.01%,43.03%,OK,
DracusJ,698,262,Liberalio,41.51%,33.33%,OK,
Kinjirou,701,262,Liberalio,91.42%,40.90%,OK,
Killjoy,701,262,Liberalio,90.01%,9.00%,OK,
Agumbi,701,262,Liberalio,71.79%,45.14%,OK,
Vertigo,701,262,Liberalio,101.24%,13.77%,OK,
Peach,722,262,Liberalio,95.63%,47.95%,OK,
View,723,262,Liberalio,84.40%,46.54%,OK,
Avalon,715,262,Liberalio,90.01%,40.92%,OK,
Hiko,710,262,Liberalio,0%,0%,OK,
GLordVJ,711,262,Liberalio,74.60%,30.35%,OK,
Lone,721,262,Liberalio,87.21%,32.63%,OK,
Hems,722,262,Liberalio,98.42%,43.02%,OK,
Kenni,721,262,Liberalio,87.21%,17.99%,OK,
Oniichan,723,262,Liberalio,85.81%,45.13%,OK,
An,728,262,Liberalio,76.00%,39.50%,OK,
Shika,765,262,Liberalio,97.03%,31.92%,OK,
Nikke69,727,262,Liberalio,91.42%,31.75%,OK,
Gohst,746,262,Liberalio,91.41%,45.85%,OK,
Terra854,753,262,Liberalio,97.03%,20.81%,OK,
Ethan,781,262,Liberalio,101.23%,46.54%,OK,
Kamazune,764,262,Liberalio,92.82%,24.33%,OK,
Xiel,761,262,Liberalio,104.03%,52.18%,OK,
Eric,802,262,Liberalio,102.64%,47.96%,OK,
Xrios,820,262,Liberalio,87.20%,43.73%,OK,
