Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,162,Mihara: Bonding Chain,94.22%,47.95%,OK,
Shikikan,681,162,Mihara: Bonding Chain,95.62%,40.91%,OK,
E19,681,162,Mihara: Bonding Chain,91.41%,46.55%,OK,
QTB,681,162,Mihara: Bonding Chain,83.01%,35.27%,OK,
Zef,699,162,Mihara: Bonding Chain,95.63%,46.55%,OK,
Flame,690,162,Mihara: Bonding Chain,94.22%,19.40%,OK,
Rexv,689,162,Mihara: Bonding Chain,70.40%,22.22%,OK,
CCDC08,701,162,Mihara: Bonding Chain,91.42%,20.80%,OK,
DracusJ,698,162,Mihara: Bonding Chain,83.00%,43.72%,OK,
Kinjirou,701,162,Mihara: Bonding Chain,85.80%,40.21%,OK,
Killjoy,701,162,Mihara: Bonding Chain,84.40%,16.58%,OK,
Agumbi,701,162,Mihara: Bonding Chain,80.21%,39.50%,OK,
Vertigo,701,162,Mihara: Bonding Chain,88.60%,26.28%,OK,
Peach,722,162,Mihara: Bonding Chain,94.21%,27.69%,OK,
View,723,162,Mihara: Bonding Chain,98.43%,20.10%,OK,
Avalon,715,162,Mihara: Bonding Chain,99.83%,22.21%,OK,
Hiko,710,162,Mihara: Bonding Chain,87.20%,21.51%,OK,
GLordVJ,711,162,Mihara: Bonding Chain,88.62%,16.58%,OK,
Lone,721,162,Mihara: Bonding Chain,59.45%,22.21%,OK,
Hems,722,162,Mihara: Bonding Chain,92.81%,34.03%,OK,
Kenni,721,162,Mihara: Bonding Chain,56.65%,9.70%,OK,
Oniichan,723,162,Mihara: Bonding Chain,59.46%,5.47%,OK,
An,728,162,Mihara: Bonding Chain,35.90%,19.40%,OK,
Shika,765,162,Mihara: Bonding Chain,85.81%,30.51%,OK,
Nikke69,727,162,Mihara: Bonding Chain,91.42%,20.81%,OK,
Gohst,746,162,Mihara: Bonding Chain,81.60%,38.81%,OK,
Terra854,753,162,Mihara: Bonding Chain,72.06%,33.32%,OK,
Ethan,781,162,Mihara: Bonding Chain,105.44%,50.77%,OK,
Kamazune,764,162,Mihara: Bonding Chain,67.86%,11.11%,OK,
Xiel,761,162,Mihara: Bonding Chain,111.04%,38.26%,OK,
Eric,802,162,Mihara: Bonding Chain,102.64%,37.38%,OK,
Xrios,818,162,Mihara: Bonding Chain,91.41%,46.55%,OK,
