Member,Participation,Total Damage,Attempt 1 Weakness,Attempt 1 Damage,Attempt 2 Weakness,Attempt 2 Damage,Attempt 3 Weakness,Attempt 3 Damage
XRIOS,3,159.489B,Water,"54,346,671,149",Wind,"31,561,108,027",Fire,"73,581,685,825"
HEMS,3,140.97B,Water,"42,737,868,410",Water,"51,415,376,306",Water,"46,816,991,372"
ETHAN,3,137.035B,Water,"40,931,892,754",Wind,"37,397,099,317",Iron,"58,705,984,393"
XIEL,3,129.26B,Electric,"39,759,768,130",Iron,"52,232,791,998",Wind,"37,267,529,044"
ERIC,3,120.613B,Electric,"35,855,525,066",Iron,"38,845,642,409",Wind,"45,912,151,513"
SHIKA,3,113.008B,Water,"23,375,975,113",Water,"36,042,067,448",Fire,"53,589,510,224"
LONE,3,112.996B,Water,"30,311,575,923",Electric,"29,841,163,118",Fire,"52,843,110,277"
KINJIROU,3,112.362B,Electric,"30,136,908,374",Fire,"42,901,687,320",Water,"39,323,566,139"
AVALON,3,111.663B,Wind,"28,099,750,626",Water,"36,549,952,531",Fire,"47,013,168,923"
KENNI,3,108.654B,Fire,"44,787,687,263",Wind,"28,238,927,395",Water,"35,627,465,400"
GLORDVJ,3,103.906B,Water,"32,748,504,594",Wind,"26,416,986,364",Fire,"44,740,589,562"
TERRA854,3,102.814B,Fire,"47,952,399,675",Wind,"22,357,674,260",Water,"32,503,571,659"
AGUMBI,3,102.432B,Water,"30,035,471,568",Iron,"28,112,073,760",Fire,"44,284,110,094"
E19鉻合金,3,100.02B,Wind,"28,591,221,084",Water,"40,931,061,375",Iron,"30,498,043,051"
KAMAZUNE,3,97.312B,Iron,"34,617,427,406",Electric,"31,269,283,753",Wind,"31,425,229,092"
ONIICHAN,3,95.314B,Wind,"22,524,944,462",Fire,"41,451,176,090",Water,"31,337,821,625"
PEACH,3,94.756B,Wind,"33,594,799,175",Electric,"25,353,639,215",Water,"35,807,257,483"
CCDC08,3,94.141B,Electric,"30,297,737,841",Wind,"29,155,332,728",Iron,"34,688,288,768"
VIEW,3,92.146B,Wind,"29,935,327,980",Iron,"37,126,297,263",Electric,"25,084,863,465"
NIKKE69,3,90.498B,Iron,"37,357,302,823",Wind,"26,519,648,037",Electric,"26,621,458,210"
KOMURA,3,90.128B,Electric,"27,159,393,879",Wind,"24,228,012,866",Water,"38,740,595,373"
HIKO,3,90.118B,Iron,"32,656,079,762",Electric,"27,805,529,967",Water,"29,656,761,455"
ZEF,3,89.209B,Water,"19,426,792,629",Water,"42,419,171,965",Wind,"27,362,998,679"
QTB,3,88.719B,Fire,"34,751,556,885",Water,"27,337,021,025",Electric,"26,630,598,896"
FLAME,3,86.959B,Water,"42,755,273,630",Electric,"21,848,525,968",Wind,"22,355,317,494"
AN,3,85.557B,Water,"24,725,339,430",Electric,"26,699,094,263",Wind,"34,132,232,812"
SHIKIKAN,3,85.521B,Iron,"35,371,925,461",Wind,"24,411,232,485",Electric,"25,738,257,424"
REXV,3,83.151B,Wind,"25,678,443,743",Iron,"34,159,512,847",Electric,"23,313,516,028"
GOHST,3,82.998B,Iron,"20,287,843,392",Electric,"32,614,481,361",Wind,"30,095,902,389"
KILLJOY,3,82.16B,Electric,"24,183,047,538",Iron,"34,669,947,381",Wind,"23,307,389,098"
VERTIGO,3,79.304B,Wind,"25,720,946,483",Electric,"20,826,687,573",Iron,"32,756,833,036"
DRACUSJ,3,55.281B,Fire,"14,189,311,612",Electric,"11,046,513,681",Wind,"30,045,230,347"
