Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,835,Asuka: Wille,95.63%,36.85%,OK,
Shikikan,-,835,Asuka: Wille,-,-,NOT LOADED,
E19,681,835,Asuka: Wille,94.22%,25.74%,OK,
QTB,-,835,Asuka: Wille,-,-,NOT LOADED,
Zef,699,835,Asuka: Wille,91.42%,14.47%,OK,
Flame,1,835,Asuka: Wille,80.21%,16.58%,OK,
Rexv,1,835,Asuka: Wille,70.66%,30.51%,OK,
CCDC08,701,835,Asuka: Wille,59.45%,33.87%,OK,
DracusJ,698,835,Asuka: Wille,91.41%,36.69%,OK,
Kinjirou,701,835,Asuka: Wille,83.00%,24.18%,OK,
Killjoy,701,835,Asuka: Wille,45.71%,29.80%,OK,
Agumbi,701,835,Asuka: Wille,80.20%,21.51%,OK,
Vertigo,701,835,Asuka: Wille,88.61%,47.95%,OK,
Peach,722,835,Asuka: Wille,88.61%,12.36%,OK,
View,723,835,Asuka: Wille,38.70%,20.81%,OK,
Avalon,715,835,Asuka: Wille,104.03%,52.88%,OK,
Hiko,710,835,Asuka: Wille,81.61%,36.85%,OK,
GLordVJ,-,835,Asuka: Wille,-,-,NOT LOADED,
Lone,1,835,Asuka: Wille,0%,0%,OK,
Hems,1,835,Asuka: Wille,80.21%,20.64%,OK,
Kenni,721,835,Asuka: Wille,62.25%,29.80%,OK,
Oniichan,723,835,Asuka: Wille,59.45%,25.03%,OK,
An,1,835,Asuka: Wille,0%,0%,OK,
Shika,765,835,Asuka: Wille,87.20%,6.88%,OK,
Nikke69,727,835,Asuka: Wille,88.62%,27.70%,OK,
Gohst,746,835,Asuka: Wille,15.15%,0%,OK,
Terra854,1,835,Asuka: Wille,0%,0%,OK,
Ethan,781,835,Asuka: Wille,87.21%,26.99%,OK,
Kamazune,764,835,Asuka: Wille,63.66%,22.92%,OK,
Xiel,761,835,Asuka: Wille,65.06%,30.50%,OK,
Eric,802,835,Asuka: Wille,88.60%,42.33%,OK,
Xrios,820,835,Asuka: Wille,98.42%,30.51%,OK,
