Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,511,Cinderella,88.61%,36.85%,OK,
Shikikan,681,511,Cinderella,101.23%,49.37%,OK,
E19,681,511,Cinderella,97.02%,50.07%,OK,
QTB,681,511,Cinderella,87.21%,38.80%,OK,
Zef,699,511,Cinderella,95.62%,37.40%,OK,
Flame,690,511,Cinderella,102.63%,44.44%,OK,
Rexv,689,511,Cinderella,94.22%,29.80%,OK,
CCDC08,701,511,Cinderella,71.80%,37.39%,OK,
DracusJ,698,511,Cinderella,63.65%,42.33%,OK,
Kinjirou,701,511,Cinderella,92.82%,42.31%,OK,
Killjoy,701,511,Cinderella,98.43%,22.21%,OK,
Agumbi,701,511,Cinderella,98.42%,52.19%,OK,
Vertigo,701,511,Cinderella,90.01%,30.51%,OK,
Peach,722,511,Cinderella,94.23%,33.88%,OK,
View,723,511,Cinderella,0%,0%,OK,
Avalon,715,511,Cinderella,92.82%,34.73%,OK,
Hiko,710,511,Cinderella,97.02%,25.04%,OK,
GLordVJ,711,511,Cinderella,112.44%,47.95%,OK,
Lone,721,511,Cinderella,109.64%,53.59%,OK,
Hems,722,511,Cinderella,97.03%,26.99%,OK,
Kenni,721,511,Cinderella,85.82%,24.88%,OK,
Oniichan,723,511,Cinderella,80.48%,28.39%,OK,
An,728,511,Cinderella,95.62%,44.44%,OK,
Shika,765,511,Cinderella,83.01%,9.70%,OK,
Nikke69,727,511,Cinderella,97.02%,31.92%,OK,
Gohst,746,511,Cinderella,97.04%,22.22%,OK,
Terra854,753,511,Cinderella,53.86%,34.02%,OK,
Ethan,781,511,Cinderella,98.42%,37.40%,OK,
Kamazune,764,511,Cinderella,92.82%,16.58%,OK,
Xiel,761,511,Cinderella,84.40%,29.10%,OK,
Eric,802,511,Cinderella,65.06%,24.33%,OK,
Xrios,820,511,Cinderella,102.62%,48.66%,OK,
