Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,513,Little Mermaid,92.81%,47.25%,OK,
Shikikan,681,513,Little Mermaid,77.40%,11.11%,OK,
E19,681,513,Little Mermaid,92.82%,31.92%,OK,
QTB,681,513,Little Mermaid,83.01%,50.77%,OK,
Zef,699,513,Little Mermaid,83.02%,0%,OK,
Flame,690,513,Little Mermaid,52.72%,17.28%,OK,
Rexv,689,513,Little Mermaid,88.62%,13.06%,OK,
CCDC08,701,513,Little Mermaid,80.20%,42.33%,OK,
DracusJ,698,513,Little Mermaid,63.67%,8.29%,OK,
Kinjirou,701,513,Little Mermaid,81.61%,28.40%,OK,
Killjoy,701,513,Little Mermaid,52.72%,43.03%,OK,
Agumbi,701,513,Little Mermaid,49.65%,40.21%,OK,
Vertigo,701,513,Little Mermaid,92.81%,41.61%,OK,
Peach,722,513,Little Mermaid,70.40%,0%,OK,
View,723,513,Little Mermaid,67.86%,37.39%,OK,
Avalon,715,513,Little Mermaid,97.02%,44.44%,OK,
Hiko,710,513,Little Mermaid,69.27%,31.21%,OK,
GLordVJ,711,513,Little Mermaid,111.04%,45.14%,OK,
Lone,721,513,Little Mermaid,85.82%,22.92%,OK,
Hems,722,513,Little Mermaid,92.83%,37.39%,OK,
Kenni,721,513,Little Mermaid,67.59%,10.40%,OK,
Oniichan,723,513,Little Mermaid,48.24%,26.29%,OK,
An,728,513,Little Mermaid,41.51%,22.05%,OK,
Shika,765,513,Little Mermaid,26.36%,35.28%,OK,
Nikke69,727,513,Little Mermaid,81.60%,49.37%,OK,
Gohst,746,513,Little Mermaid,70.67%,43.03%,OK,
Terra854,753,513,Little Mermaid,55.25%,35.44%,OK,
Ethan,781,513,Little Mermaid,94.22%,35.44%,OK,
Kamazune,764,513,Little Mermaid,81.60%,25.58%,OK,
Xiel,761,513,Little Mermaid,87.20%,32.62%,OK,
Eric,802,513,Little Mermaid,90.01%,33.32%,OK,
Xrios,820,513,Little Mermaid,91.42%,43.73%,OK,
