Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,183,Maiden: Ice Rose,62.25%,18.70%,OK,
Shikikan,681,183,Maiden: Ice Rose,90.03%,6.18%,OK,
E19,681,183,Maiden: Ice Rose,67.87%,10.40%,OK,
QTB,681,183,Maiden: Ice Rose,49.65%,32.62%,OK,
Zef,699,183,Maiden: Ice Rose,80.20%,14.47%,OK,
Flame,1,183,Maiden: Ice Rose,77.41%,0%,OK,
Rexv,689,183,Maiden: Ice Rose,60.86%,0%,OK,
CCDC08,701,183,Maiden: Ice Rose,83.02%,11.81%,OK,
DracusJ,698,183,Maiden: Ice Rose,72.07%,39.49%,OK,
Kinjirou,701,183,Maiden: Ice Rose,83.01%,0%,OK,
Killjoy,701,183,Maiden: Ice Rose,41.51%,11.81%,OK,
Agumbi,701,183,Maiden: Ice Rose,83.02%,17.29%,OK,
Vertigo,701,183,Maiden: Ice Rose,92.81%,36.69%,OK,
Peach,722,183,Maiden: Ice Rose,99.82%,11.65%,OK,
View,723,183,Maiden: Ice Rose,83.00%,22.76%,OK,
Avalon,715,183,Maiden: Ice Rose,83.01%,41.62%,OK,
Hiko,710,183,Maiden: Ice Rose,66.46%,22.21%,OK,
GLordVJ,711,183,Maiden: Ice Rose,95.63%,11.81%,OK,
Lone,721,183,Maiden: Ice Rose,23.56%,27.69%,OK,
Hems,722,183,Maiden: Ice Rose,87.21%,7.59%,OK,
Kenni,721,183,Maiden: Ice Rose,87.22%,21.52%,OK,
Oniichan,723,183,Maiden: Ice Rose,38.70%,11.11%,OK,
An,728,183,Maiden: Ice Rose,80.21%,33.87%,OK,
Shika,765,183,Maiden: Ice Rose,65.06%,29.81%,OK,
Nikke69,727,183,Maiden: Ice Rose,41.50%,23.46%,OK,
Gohst,746,183,Maiden: Ice Rose,9.54%,30.50%,OK,
Terra854,753,183,Maiden: Ice Rose,67.86%,47.95%,OK,
Ethan,781,183,Maiden: Ice Rose,87.22%,0%,OK,
Kamazune,764,183,Maiden: Ice Rose,69.00%,0%,OK,
Xiel,761,183,Maiden: Ice Rose,49.65%,19.40%,OK,
Eric,802,183,Maiden: Ice Rose,34.50%,40.21%,OK,
Xrios,820,183,Maiden: Ice Rose,94.22%,40.21%,OK,
