Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,17,Anis: Star,87.21%,38.80%,OK,
Shikikan,681,17,Anis: Star,81.61%,50.07%,OK,
E19,681,17,Anis: Star,84.41%,35.44%,OK,
QTB,681,17,Anis: Star,74.60%,27.69%,OK,
Zef,699,17,Anis: Star,92.82%,19.40%,OK,
Flame,690,17,Anis: Star,90.01%,24.33%,OK,
Rexv,689,17,Anis: Star,83.01%,37.56%,OK,
CCDC08,701,17,Anis: Star,88.63%,43.03%,OK,
DracusJ,698,17,Anis: Star,80.21%,32.62%,OK,
Kinjirou,701,17,Anis: Star,95.62%,30.35%,OK,
Killjoy,701,17,Anis: Star,84.42%,0%,OK,
Agumbi,701,17,Anis: Star,90.02%,38.09%,OK,
Vertigo,701,17,Anis: Star,94.21%,6.88%,OK,
Peach,722,17,Anis: Star,88.61%,38.09%,OK,
View,723,17,Anis: Star,98.43%,19.40%,OK,
Avalon,715,17,Anis: Star,84.40%,35.28%,OK,
Hiko,710,17,Anis: Star,62.25%,20.81%,OK,
GLordVJ,711,17,Anis: Star,83.02%,36.68%,OK,
Lone,721,17,Anis: Star,99.82%,40.37%,OK,
Hems,722,17,Anis: Star,92.83%,39.50%,OK,
Kenni,721,17,Anis: Star,101.23%,36.69%,OK,
Oniichan,723,17,Anis: Star,87.21%,35.28%,OK,
An,728,17,Anis: Star,90.01%,44.44%,OK,
Shika,765,17,Anis: Star,88.62%,35.44%,OK,
Nikke69,727,17,Anis: Star,87.22%,22.92%,OK,
Gohst,746,17,Anis: Star,84.41%,40.91%,OK,
Terra854,753,17,Anis: Star,67.87%,36.14%,OK,
Ethan,781,17,Anis: Star,90.01%,39.51%,OK,
Kamazune,764,17,Anis: Star,104.04%,9.70%,OK,
Xiel,761,17,Anis: Star,102.63%,31.92%,OK,
Eric,802,17,Anis: Star,92.81%,44.43%,OK,
Xrios,820,17,Anis: Star,91.41%,47.95%,OK,
