Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,281,Moran,35.90%,0%,OK,
Shikikan,681,281,Moran,23.56%,11.81%,OK,
E19,681,281,Moran,91.42%,11.81%,OK,
QTB,681,281,Moran,26.09%,40.92%,OK,
Zef,699,281,Moran,34.50%,34.73%,OK,
Flame,690,281,Moran,70.68%,11.81%,OK,
Rexv,689,281,Moran,23.56%,0%,OK,
CCDC08,701,281,Moran,73.20%,25.41%,OK,
DracusJ,698,281,Moran,24.68%,22.21%,OK,
Kinjirou,701,281,Moran,22.15%,31.91%,OK,
Killjoy,701,281,Moran,66.47%,23.62%,OK,
Agumbi,701,281,Moran,80.21%,42.32%,OK,
Vertigo,701,281,Moran,0%,11.81%,OK,
Peach,722,281,Moran,0%,0%,OK,
View,723,281,Moran,70.68%,19.40%,OK,
Avalon,715,281,Moran,94.22%,9.00%,OK,
Hiko,710,281,Moran,35.90%,23.62%,OK,
GLordVJ,711,281,Moran,99.82%,24.17%,OK,
Lone,721,281,Moran,0%,19.40%,OK,
Hems,722,281,Moran,0%,11.81%,OK,
Kenni,721,281,Moran,22.15%,37.39%,OK,
Oniichan,723,281,Moran,37.31%,23.62%,OK,
An,728,281,Moran,59.19%,22.06%,OK,
Shika,765,281,Moran,88.62%,0%,OK,
Nikke69,727,281,Moran,0%,6.88%,OK,
Gohst,746,281,Moran,104.03%,23.62%,OK,
Terra854,753,281,Moran,0%,0%,OK,
Ethan,781,281,Moran,85.82%,11.81%,OK,
Kamazune,764,281,Moran,47.12%,11.11%,OK,
Xiel,761,281,Moran,92.82%,25.03%,OK,
Eric,802,281,Moran,0%,22.22%,OK,
Xrios,820,281,Moran,94.23%,23.62%,OK,
