Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,223,Nayuta,98.44%,43.03%,OK,
Shikikan,681,223,Nayuta,60.86%,19.40%,OK,
E19,681,223,Nayuta,95.63%,8.29%,OK,
QTB,681,223,Nayuta,80.20%,23.47%,OK,
Zef,699,223,Nayuta,85.82%,11.11%,OK,
Flame,690,223,Nayuta,62.26%,14.63%,OK,
Rexv,689,223,Nayuta,70.66%,34.03%,OK,
CCDC08,701,223,Nayuta,80.20%,37.40%,OK,
DracusJ,698,223,Nayuta,71.80%,8.29%,OK,
Kinjirou,701,223,Nayuta,83.00%,39.50%,OK,
Killjoy,701,223,Nayuta,83.01%,0%,OK,
Agumbi,701,223,Nayuta,66.46%,43.74%,OK,
Vertigo,701,223,Nayuta,92.83%,20.10%,OK,
Peach,722,223,Nayuta,84.42%,0%,OK,
View,723,223,Nayuta,56.65%,33.87%,OK,
Avalon,715,223,Nayuta,83.01%,45.14%,OK,
Hiko,710,223,Nayuta,92.83%,22.92%,OK,
GLordVJ,711,223,Nayuta,87.21%,45.14%,OK,
Lone,721,223,Nayuta,37.30%,33.32%,OK,
Hems,722,223,Nayuta,97.03%,41.62%,OK,
Kenni,721,223,Nayuta,70.40%,47.25%,OK,
Oniichan,723,223,Nayuta,44.31%,17.29%,OK,
An,1,223,Nayuta,0%,0%,OK,
Shika,765,223,Nayuta,72.06%,21.51%,OK,
Nikke69,727,223,Nayuta,84.40%,34.58%,OK,
Gohst,746,223,Nayuta,66.47%,46.55%,OK,
Terra854,753,223,Nayuta,56.65%,38.96%,OK,
Ethan,781,223,Nayuta,98.43%,15.17%,OK,
Kamazune,764,223,Nayuta,94.22%,0%,OK,
Xiel,761,223,Nayuta,91.41%,29.80%,OK,
Eric,802,223,Nayuta,101.23%,17.99%,OK,
Xrios,820,223,Nayuta,92.83%,29.80%,OK,
