Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,18,Neon: Vision Eye,83.00%,27.69%,OK,
Shikikan,681,18,Neon: Vision Eye,91.41%,40.92%,OK,
E19,681,18,Neon: Vision Eye,94.21%,22.92%,OK,
QTB,681,18,Neon: Vision Eye,80.20%,31.76%,OK,
Zef,699,18,Neon: Vision Eye,88.62%,22.22%,OK,
Flame,1,18,Neon: Vision Eye,74.60%,26.99%,OK,
Rexv,689,18,Neon: Vision Eye,88.61%,29.81%,OK,
CCDC08,701,18,Neon: Vision Eye,78.81%,22.77%,OK,
DracusJ,698,18,Neon: Vision Eye,13.75%,9.70%,OK,
Kinjirou,701,18,Neon: Vision Eye,97.03%,21.52%,OK,
Killjoy,701,18,Neon: Vision Eye,52.72%,23.46%,OK,
Agumbi,701,18,Neon: Vision Eye,81.61%,45.14%,OK,
Vertigo,701,18,Neon: Vision Eye,92.81%,11.11%,OK,
Peach,722,18,Neon: Vision Eye,88.61%,46.54%,OK,
View,723,18,Neon: Vision Eye,90.01%,9.70%,OK,
Avalon,715,18,Neon: Vision Eye,94.22%,15.88%,OK,
Hiko,710,18,Neon: Vision Eye,62.26%,34.73%,OK,
GLordVJ,711,18,Neon: Vision Eye,80.21%,34.73%,OK,
Lone,721,18,Neon: Vision Eye,90.02%,50.78%,OK,
Hems,722,18,Neon: Vision Eye,97.03%,41.62%,OK,
Kenni,721,18,Neon: Vision Eye,77.40%,35.98%,OK,
Oniichan,723,18,Neon: Vision Eye,81.60%,31.92%,OK,
An,728,18,Neon: Vision Eye,53.85%,26.28%,OK,
Shika,765,18,Neon: Vision Eye,90.01%,32.63%,OK,
Nikke69,727,18,Neon: Vision Eye,80.20%,19.40%,OK,
Gohst,746,18,Neon: Vision Eye,87.21%,35.44%,OK,
Terra854,753,18,Neon: Vision Eye,91.41%,14.63%,OK,
Ethan,781,18,Neon: Vision Eye,85.81%,0%,OK,
Kamazune,764,18,Neon: Vision Eye,95.62%,0%,OK,
Xiel,761,18,Neon: Vision Eye,92.81%,0%,OK,
Eric,802,18,Neon: Vision Eye,99.84%,38.10%,OK,
Xrios,818,18,Neon: Vision Eye,95.62%,49.36%,OK,
