Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status
Komura,668,170,Privaty,77.40%,7.59%,OK
Shikikan,681,170,Privaty,80.21%,6.18%,OK
E19,681,170,Privaty,88.62%,52.18%,OK
QTB,681,170,Privaty,76.00%,44.43%,OK
Zef,699,170,Privaty,99.83%,30.34%,OK
Flame,690,170,Privaty,38.70%,11.81%,OK
Rexv,689,170,Privaty,76.00%,44.43%,OK
CCDC08,701,170,Privaty,87.21%,34.03%,OK
DracusJ,698,170,Privaty,31.69%,0%,OK
Kinjirou,701,170,Privaty,66.47%,6.88%,OK
Killjoy,701,170,Privaty,63.66%,16.58%,OK
Agumbi,701,170,Privaty,88.62%,32.46%,OK
Vertigo,701,170,Privaty,84.41%,10.40%,OK
Peach,722,170,Privaty,90.02%,34.58%,OK
View,723,170,Privaty,78.80%,42.33%,OK
Avalon,715,170,Privaty,88.60%,25.04%,OK
Hiko,710,170,Privaty,61.99%,0%,OK
GLordVJ,711,170,Privaty,94.22%,44.43%,OK
Lone,721,170,Privaty,63.66%,32.46%,OK
Hems,-,170,Privaty,-,-,NOT LOADED
Kenni,721,170,Privaty,88.61%,15.18%,OK
Oniichan,723,170,Privaty,52.44%,11.81%,OK
An,728,170,Privaty,67.60%,39.50%,OK
Shika,765,170,Privaty,92.83%,13.76%,OK
Nikke69,727,170,Privaty,88.62%,10.40%,OK
Gohst,744,170,Privaty,78.81%,18.70%,OK
Terra854,753,170,Privaty,49.65%,6.18%,OK
Ethan,781,170,Privaty,85.81%,15.18%,OK
Kamazune,764,170,Privaty,90.01%,30.34%,OK
Xiel,761,170,Privaty,80.20%,39.51%,OK
Eric,802,170,Privaty,53.85%,40.20%,OK
Xrios,818,170,Privaty,87.20%,25.03%,OK
