Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status
Komura,668,16,Rapi: Red Hood,99.83%,46.56%,OK
Shikikan,681,16,Rapi: Red Hood,99.83%,40.91%,OK
E19,681,16,Rapi: Red Hood,101.24%,48.66%,OK
QTB,681,16,Rapi: Red Hood,85.81%,44.43%,OK
Zef,699,16,Rapi: Red Hood,101.24%,47.26%,OK
Flame,690,16,Rapi: Red Hood,111.04%,55.00%,OK
Rexv,689,16,Rapi: Red Hood,97.03%,45.14%,OK
CCDC08,701,16,Rapi: Red Hood,91.42%,45.84%,OK
DracusJ,698,16,Rapi: Red Hood,85.81%,54.30%,OK
Kinjirou,701,16,Rapi: Red Hood,102.63%,43.74%,OK
Killjoy,701,16,Rapi: Red Hood,94.21%,19.40%,OK
Agumbi,701,16,Rapi: Red Hood,99.82%,46.55%,OK
Vertigo,701,16,Rapi: Red Hood,95.62%,29.81%,OK
Peach,722,16,Rapi: Red Hood,85.81%,49.37%,OK
View,723,16,Rapi: Red Hood,97.03%,36.15%,OK
Avalon,715,16,Rapi: Red Hood,102.63%,35.44%,OK
Hiko,710,16,Rapi: Red Hood,88.60%,11.11%,OK
GLordVJ,711,16,Rapi: Red Hood,83.01%,46.55%,OK
Lone,721,16,Rapi: Red Hood,69.26%,41.08%,OK
Hems,722,16,Rapi: Red Hood,97.03%,39.51%,OK
Kenni,721,16,Rapi: Red Hood,87.21%,45.14%,OK
Oniichan,723,16,Rapi: Red Hood,104.03%,31.21%,OK
An,728,16,Rapi: Red Hood,77.40%,47.96%,OK
Shika,765,16,Rapi: Red Hood,99.83%,15.88%,OK
Nikke69,727,16,Rapi: Red Hood,90.01%,43.73%,OK
Gohst,744,16,Rapi: Red Hood,80.21%,35.43%,OK
Terra854,753,16,Rapi: Red Hood,87.21%,52.19%,OK
Ethan,781,16,Rapi: Red Hood,99.83%,47.96%,OK
Kamazune,764,16,Rapi: Red Hood,102.63%,39.50%,OK
Xiel,761,16,Rapi: Red Hood,101.23%,32.62%,OK
Eric,802,16,Rapi: Red Hood,101.24%,51.49%,OK
Xrios,818,16,Rapi: Red Hood,97.02%,43.73%,OK
