Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,470,Red Hood,94.22%,42.32%,OK,
Shikikan,681,470,Red Hood,38.70%,13.77%,OK,
E19,681,470,Red Hood,83.00%,46.55%,OK,
QTB,681,470,Red Hood,77.41%,17.28%,OK,
Zef,699,470,Red Hood,74.60%,50.77%,OK,
Flame,690,470,Red Hood,101.22%,50.07%,OK,
Rexv,689,470,Red Hood,92.82%,42.32%,OK,
CCDC08,701,470,Red Hood,53.85%,32.62%,OK,
DracusJ,698,470,Red Hood,95.62%,31.92%,OK,
Kinjirou,701,470,Red Hood,95.63%,34.74%,OK,
Killjoy,701,470,Red Hood,78.80%,28.56%,OK,
Agumbi,701,470,Red Hood,73.20%,22.92%,OK,
Vertigo,701,470,Red Hood,94.22%,11.11%,OK,
Peach,722,470,Red Hood,97.02%,40.22%,OK,
View,723,470,Red Hood,81.61%,11.81%,OK,
Avalon,715,470,Red Hood,87.21%,13.93%,OK,
Hiko,710,470,Red Hood,97.03%,30.51%,OK,
GLordVJ,711,470,Red Hood,102.63%,19.40%,OK,
Lone,721,470,Red Hood,47.11%,38.25%,OK,
Hems,722,470,Red Hood,97.02%,24.88%,OK,
Kenni,721,470,Red Hood,56.65%,38.09%,OK,
Oniichan,723,470,Red Hood,46.85%,15.17%,OK,
An,728,470,Red Hood,66.19%,39.50%,OK,
Shika,765,470,Red Hood,80.21%,31.22%,OK,
Nikke69,727,470,Red Hood,90.02%,46.54%,OK,
Gohst,746,470,Red Hood,35.90%,43.72%,OK,
Terra854,753,470,Red Hood,90.02%,37.55%,OK,
Ethan,781,470,Red Hood,90.01%,26.99%,OK,
Kamazune,764,470,Red Hood,91.43%,0%,OK,
Xiel,761,470,Red Hood,87.21%,34.03%,OK,
Eric,802,470,Red Hood,105.43%,41.61%,OK,
Xrios,820,470,Red Hood,98.43%,27.00%,OK,
