Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status
Komura,668,225,Scarlet: Black Shadow,91.42%,49.36%,OK
Shikikan,681,225,Scarlet: Black Shadow,111.04%,45.13%,OK
E19,681,225,Scarlet: Black Shadow,99.84%,22.92%,OK
QTB,681,225,Scarlet: Black Shadow,80.21%,42.32%,OK
Zef,699,225,Scarlet: Black Shadow,99.83%,29.11%,OK
Flame,690,225,Scarlet: Black Shadow,88.61%,40.37%,OK
Rexv,689,225,Scarlet: Black Shadow,91.41%,45.84%,OK
CCDC08,701,225,Scarlet: Black Shadow,106.83%,50.78%,OK
DracusJ,698,225,Scarlet: Black Shadow,98.43%,47.25%,OK
Kinjirou,701,225,Scarlet: Black Shadow,98.42%,44.44%,OK
Killjoy,701,225,Scarlet: Black Shadow,94.22%,22.22%,OK
Agumbi,701,225,Scarlet: Black Shadow,94.22%,47.26%,OK
Vertigo,701,225,Scarlet: Black Shadow,91.42%,24.18%,OK
Peach,722,225,Scarlet: Black Shadow,101.22%,38.81%,OK
View,723,225,Scarlet: Black Shadow,91.42%,36.85%,OK
Avalon,715,225,Scarlet: Black Shadow,83.00%,44.43%,OK
Hiko,710,225,Scarlet: Black Shadow,91.42%,29.10%,OK
GLordVJ,711,225,Scarlet: Black Shadow,49.91%,43.02%,OK
Lone,721,225,Scarlet: Black Shadow,72.07%,41.07%,OK
Hems,-,225,Scarlet: Black Shadow,-,-,NOT LOADED
Kenni,721,225,Scarlet: Black Shadow,91.42%,22.92%,OK
Oniichan,723,225,Scarlet: Black Shadow,51.32%,36.85%,OK
An,728,225,Scarlet: Black Shadow,85.81%,46.55%,OK
Shika,765,225,Scarlet: Black Shadow,73.47%,22.92%,OK
Nikke69,727,225,Scarlet: Black Shadow,85.80%,41.62%,OK
Gohst,744,225,Scarlet: Black Shadow,92.82%,43.03%,OK
Terra854,753,225,Scarlet: Black Shadow,80.21%,22.92%,OK
Ethan,781,225,Scarlet: Black Shadow,94.21%,32.63%,OK
Kamazune,764,225,Scarlet: Black Shadow,109.64%,9.70%,OK
Xiel,761,225,Scarlet: Black Shadow,108.23%,24.33%,OK
Eric,802,225,Scarlet: Black Shadow,102.64%,44.43%,OK
Xrios,818,225,Scarlet: Black Shadow,95.61%,46.54%,OK
