Member Name,Sync Level,Nikke ID,Nikke Name,Increase Element Damage Dealt,Increase ATK,Status,Notes
Komura,668,471,Snow White: Heavy Arms,105.44%,31.92%,OK,
Shikikan,681,471,Snow White: Heavy Arms,92.81%,38.10%,OK,
E19,681,471,Snow White: Heavy Arms,95.62%,50.78%,OK,
QTB,681,471,Snow White: Heavy Arms,91.42%,28.23%,OK,
Zef,699,471,Snow White: Heavy Arms,99.82%,47.25%,OK,
Flame,690,471,Snow White: Heavy Arms,83.00%,47.96%,OK,
Rexv,689,471,Snow White: Heavy Arms,88.62%,31.75%,OK,
CCDC08,701,471,Snow White: Heavy Arms,95.63%,40.21%,OK,
DracusJ,698,471,Snow White: Heavy Arms,90.01%,46.54%,OK,
Kinjirou,701,471,Snow White: Heavy Arms,92.81%,42.32%,OK,
Killjoy,701,471,Snow White: Heavy Arms,90.01%,22.22%,OK,
Agumbi,701,471,Snow White: Heavy Arms,81.60%,49.36%,OK,
Vertigo,701,471,Snow White: Heavy Arms,91.42%,22.92%,OK,
Peach,722,471,Snow White: Heavy Arms,88.62%,51.48%,OK,
View,723,471,Snow White: Heavy Arms,95.62%,50.77%,OK,
Avalon,715,471,Snow White: Heavy Arms,95.63%,34.03%,OK,
Hiko,710,471,Snow White: Heavy Arms,81.61%,36.84%,OK,
GLordVJ,711,471,Snow White: Heavy Arms,99.82%,43.74%,OK,
Lone,721,471,Snow White: Heavy Arms,88.62%,28.56%,OK,
Hems,722,471,Snow White: Heavy Arms,88.61%,36.15%,OK,
Kenni,721,471,Snow White: Heavy Arms,92.81%,49.36%,OK,
Oniichan,723,471,Snow White: Heavy Arms,76.27%,52.18%,OK,
An,728,471,Snow White: Heavy Arms,85.82%,42.32%,OK,
Shika,765,471,Snow White: Heavy Arms,91.42%,24.87%,OK,
Nikke69,727,471,Snow White: Heavy Arms,94.21%,35.98%,OK,
Gohst,746,471,Snow White: Heavy Arms,80.21%,35.43%,OK,
Terra854,753,471,Snow White: Heavy Arms,80.21%,33.33%,OK,
Ethan,781,471,Snow White: Heavy Arms,102.64%,45.13%,OK,
Kamazune,764,471,Snow White: Heavy Arms,83.00%,16.58%,OK,
Xiel,761,471,Snow White: Heavy Arms,92.82%,39.51%,OK,
Eric,802,471,Snow White: Heavy Arms,102.64%,43.74%,OK,
Xrios,818,471,Snow White: Heavy Arms,95.62%,49.37%,OK,
