# MEMBERS
name,uid
Komura,MjkwODAtNzU0NjExMTU3NzcyNjczNjM1
Shikikan,MjkwODAtMTUzMjYyOTI0NTI5NDA5OTE5ODg
E19,MjkwODAtOTE3MjAwNzcwMTE0MDI1MzA5Nw
QTB,MjkwODAtNjE1NTEwNDY0NjM1MzU0MjAyNg
Zef,MjkwODAtMTY1NDI3MTM4NTkyMDUyMTk4NDg
Flame,MjkwODAtODQ5MTA5MjcyNjQxODExMzI2MQ
Rexv,MjkwODAtMTQ2MDU5Mzc1Njk1NjYyOTM3MDE
CCDC08,MjkwODAtMzUzMzU3NTgyNDQwNDAyNDk5Mw
DracusJ,MjkwODAtOTAzNjA4OTEzODc3NzQ4MTAxOQ
Kinjirou,MjkwODAtNDU2OTA2MTcyNDY1MDE0MTQ3OQ
Killjoy,MjkwODAtMTY5NDE2NjkzMzAxMjIwMzM4OTY
Agumbi,MjkwODAtMTU1NDk3MzYyMTc2MTc3NDU0NjY
Vertigo,MjkwODAtNzk4NjQ2ODUwMTcwMjkwMDI2Ng
Peach,MjkwODAtNjU5NzA0NDc5MDk4NzUxMzc0NQ
View,MjkwODAtMTA5MDk2OTUyMDI3MDc5Mjc1NA
Avalon,MjkwODAtMTQ2MzI1NDI4NTk3Nzk1OTc1NTc
Hiko,MjkwODAtNjU5NjE1MTA2MDQ3Nzg3MTcxMg
GLordVJ,MjkwODAtMjE2OTQzNzQxODczNzk3ODgwMQ
Lone,MjkwODAtMTc1NzU2MDYyMzM2MDkyMjE4ODk
Hems,MjkwODAtNDMyNDcwMzQzNjMwNjEwOTI1NQ
Kenni,MjkwODAtMzYzNDk3NTkwMzE4NjY0MzYzMQ
Oniichan,MjkwODAtNzgzNjAzODIwMzAxNjYxODY2OA
An,MjkwODAtMTQzNzA1MDU4NjcwNjIyNTM5Mzk
Shika,MjkwODAtOTY0ODM3NTIxNDEyODIxMTY2Mw
Nikke69,MjkwODAtNzQ2NTEzNjc2NTQyMTk1NTc0
Gohst,MjkwODAtOTAxOTc3Njc5OTc1MjQ2NzE2OA
Terra854,MjkwODAtOTIzMjE3NzE0MzQwNDg4ODYwMg
Ethan,MjkwODAtMTgyNTUwMzY1OTU5ODM0Nzc1NTc
Kamazune,MjkwODAtNTMxMDI5NTczNjY2NTAxMDUxNQ
Xiel,MjkwODAtOTYxODI2NTcwNDMyMDU0NDQwNg
Eric,MjkwODAtMTM4ODU3NjYwMTk3MjQxNDUyNDY
Xrios,MjkwODAtNzA5MzE1MzIyOTUwNjE0ODkzMA

# NIKKES
nikke_id,nikke_name
16,Rapi: Red Hood
470,Red Hood
851,Raven
162,Mihara: Bonding Chain
75,Diesel: Winter Sweets
471,Snow White: Heavy Arms
234,Dorothy: Serendipity
502,Elegg: Boom and Shock
170,Privaty
262,Liberalio
225,Scarlet: Black Shadow
223,Nayuta
513,Little Mermaid
835,Asuka: Wille
511,Cinderella
15,Anis: Sparkling Summer
183,Maiden: Ice Rose
281,Moran
17,Anis: Star
18,Neon: Vision Eye
