Member Name,Member Level,Nikke ID,Nikke Name,Increase ATK,Increase Element Damage Dealt,Error
Komura,0,16,Rapi: Red Hood,46.56%,99.83%,
Shikikan,233,16,Rapi: Red Hood,40.91%,99.83%,
E19,238,16,Rapi: Red Hood,48.66%,101.24%,
QTB,240,16,Rapi: Red Hood,44.43%,85.81%,
Zef,250,16,Rapi: Red Hood,47.26%,101.24%,
Flame,263,16,Rapi: Red Hood,55.00%,111.04%,
Rexv,0,16,Rapi: Red Hood,45.14%,97.03%,
CCDC08,0,16,Rapi: Red Hood,45.84%,91.42%,
DracusJ,251,16,Rapi: Red Hood,54.30%,85.81%,
Kinjirou,200,16,Rapi: Red Hood,43.74%,102.63%,
Killjoy,257,16,Rapi: Red Hood,19.40%,94.21%,
Agumbi,0,16,Rapi: Red Hood,46.55%,99.82%,
Vertigo,279,16,Rapi: Red Hood,29.81%,95.62%,
Peach,253,16,Rapi: Red Hood,40.91%,92.81%,
View,264,16,Rapi: Red Hood,36.15%,97.03%,
Avalon,0,16,Rapi: Red Hood,35.44%,102.63%,
Hiko,0,16,Rapi: Red Hood,11.11%,88.60%,
GLordVJ,244,16,Rapi: Red Hood,46.55%,83.01%,
Lone,0,16,Rapi: Red Hood,41.08%,69.26%,
Hems,1,16,Rapi: Red Hood,0%,0%,
Kenni,255,16,Rapi: Red Hood,45.14%,87.21%,
Oniichan,0,16,Rapi: Red Hood,31.21%,104.03%,
An,0,16,Rapi: Red Hood,47.96%,77.40%,
Shika,178,16,Rapi: Red Hood,21.51%,72.06%,
Nikke69,247,16,Rapi: Red Hood,26.45%,63.66%,
Gohst,228,16,Rapi: Red Hood,31.21%,85.81%,
Terra854,0,16,Rapi: Red Hood,52.19%,87.21%,
Ethan,0,16,Rapi: Red Hood,47.96%,99.83%,
Kamazune,250,16,Rapi: Red Hood,39.50%,102.63%,
Xiel,264,16,Rapi: Red Hood,32.62%,101.23%,
Eric,253,16,Rapi: Red Hood,51.49%,101.24%,
Xrios,286,16,Rapi: Red Hood,43.73%,97.02%,
